timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-06T16:05:18.503069;390;0;0;36;159;0;159;0;8;192.04467685987458;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:05:20.517039;398;0;36;89;94;0;110;0;0;197.80324505611267;2;2;0;0;2;0;0;0.9939861560608676;26;26;0;0;2;0;0;12.921820028791279
2025-11-06T16:05:22.531070;400;0;24;94;92;0;128;4;4;198.74631627491863;0;0;0;0;0;0;0;0.0;12;12;0;0;0;0;0;5.962389488247559
2025-11-06T16:05:24.544115;398;0;46;157;32;0;92;2;4;197.83735348556857;11;11;0;0;6;0;0;5.467866553621242;58;58;0;0;12;0;0;28.830569100912005
2025-11-06T16:05:26.558065;394;0;29;50;116;0;127;8;12;195.81330054129145;7;6;1;0;6;0;0;3.478916507078782;37;34;3;0;8;0;0;18.38855868027356
2025-11-06T16:05:28.573185;394;0;29;149;44;0;98;2;4;195.66070299553826;7;7;0;0;1;0;0;3.4762053831694613;36;36;0;0;7;0;0;17.877627684871516
2025-11-06T16:05:30.588094;376;0;12;100;86;0;136;4;14;186.819213545065;1;0;1;0;0;0;1;0.4968596104921942;14;12;2;0;14;0;1;6.956034546890718
2025-11-06T16:05:32.604078;398;0;0;90;109;0;102;7;12;197.5831011494699;46;1;45;0;9;2;4;22.836237821295516;49;1;48;0;49;1;8;24.325557679206096
2025-11-06T16:05:34.621057;396;0;0;28;170;0;72;0;2;196.49007804265196;110;0;110;0;0;0;1;54.58057723406999;60;0;60;0;60;0;1;29.771223945856356
2025-11-06T16:05:36.635055;400;0;0;24;176;0;71;0;0;198.7383352156195;117;0;117;0;0;0;0;58.1309630505687;59;0;59;0;59;0;0;29.313904444303876
2025-11-06T16:05:38.651047;400;0;0;8;192;0;69;0;0;198.66300582955984;127;0;127;0;0;0;0;63.07550435088525;65;0;65;0;65;0;0;32.28273844730347
2025-11-06T16:05:40.667062;400;0;0;16;184;0;69;0;0;198.61653296498335;123;0;123;0;0;0;0;61.07458388673238;61;0;61;0;61;0;0;30.28902127715996
2025-11-06T16:05:42.682065;400;0;0;17;183;0;71;0;0;198.67841534895047;121;0;121;0;0;0;0;60.10022064305751;62;0;62;0;62;0;0;30.79515437908732
2025-11-06T16:05:44.696040;400;0;0;13;187;0;69;0;0;198.73598104326933;123;0;123;0;0;0;0;61.111314170805315;64;0;64;0;64;0;0;31.797756966923092
2025-11-06T16:05:46.710036;400;0;0;8;192;0;65;0;0;198.73113162400938;131;0;131;0;0;0;0;65.08444560686307;61;0;61;0;61;0;0;30.30649757266143
2025-11-06T16:05:48.724029;398;0;0;16;183;0;62;0;0;197.73419685706799;129;0;129;0;0;0;0;64.0897271220145;54;0;54;0;54;0;0;26.828257865029325
2025-11-06T16:05:50.738056;400;0;0;8;192;0;76;0;0;198.72159826157264;120;0;120;0;0;0;0;59.61647947847179;72;0;72;0;72;0;0;35.76988768708307
2025-11-06T16:05:52.753066;400;0;0;16;184;0;78;0;0;198.64691660785007;114;0;114;0;0;0;0;56.61437123323727;70;0;70;0;70;0;0;34.763210406373766
